Rank,TeamCountry,Gold,Silver,Bronze,Total,Rank by Total
1,AIN,1,3,1,5,44
2,Albania,0,0,2,2,67
3,Algeria,2,0,1,3,59
4,Argentina,1,1,1,3,59
5,Armenia,0,3,1,4,50
6,Australia,18,19,16,53,5
7,Austria,2,0,3,5,44
8,Azerbaijan,2,2,3,7,30
9,Bahrain,2,1,1,4,50
10,Belgium,3,1,6,10,21
11,Botswana,1,1,0,2,67
12,Brazil,3,7,10,20,12
13,Bulgaria,3,1,3,7,30
14,Cabo Verde,0,0,1,1,78
15,Canada,9,7,11,27,11
16,Chile,1,1,0,2,67
17,Chinese Taipei,2,0,5,7,30
18,Colombia,0,3,1,4,50
19,Croatia,2,2,3,7,30
20,Cuba,2,1,6,9,23
21,Cyprus,0,1,0,1,78
22,Czechia,3,0,2,5,44
23,Côte d'Ivoire,0,0,1,1,78
24,Democratic People's Republic of Korea,0,2,4,6,38
25,Denmark,2,2,5,9,23
26,Dominica,1,0,0,1,78
27,Dominican Republic,1,0,2,3,59
28,Ecuador,1,2,2,5,44
29,Egypt,1,1,1,3,59
30,Ethiopia,1,3,0,4,50
31,Fiji,0,1,0,1,78
32,France,16,26,22,64,4
33,Georgia,3,3,1,7,30
34,Germany,12,13,8,33,9
35,Great Britain,14,22,29,65,3
36,Greece,1,1,6,8,26
37,Grenada,0,0,2,2,67
38,Guatemala,1,0,1,2,67
39,"Hong Kong, China",2,0,2,4,50
40,Hungary,6,7,6,19,14
41,India,0,1,5,6,38
42,Indonesia,2,0,1,3,59
43,Ireland,4,0,3,7,30
44,Islamic Republic of Iran,3,6,3,12,17
45,Israel,1,5,1,7,30
46,Italy,12,13,15,40,7
47,Jamaica,1,3,2,6,38
48,Japan,20,12,13,45,6
49,Jordan,0,1,0,1,78
50,Kazakhstan,1,3,3,7,30
51,Kenya,4,2,5,11,19
52,Kosovo,0,1,1,2,67
53,Kyrgyzstan,0,2,4,6,38
54,Lithuania,0,2,2,4,50
55,Malaysia,0,0,2,2,67
56,Mexico,0,3,2,5,44
57,Mongolia,0,1,0,1,78
58,Morocco,1,0,1,2,67
59,Netherlands,15,7,12,34,8
60,New Zealand,10,7,3,20,12
61,Norway,4,1,3,8,26
62,Pakistan,1,0,0,1,78
63,Panama,0,1,0,1,78
64,People's Republic of China,40,27,24,91,2
65,Peru,0,0,1,1,78
66,Philippines,2,0,2,4,50
67,Poland,1,4,5,10,21
68,Portugal,1,2,1,4,50
69,Puerto Rico,0,0,2,2,67
70,Qatar,0,0,1,1,78
71,Refugee Olympic Team,0,0,1,1,78
72,Republic of Korea,13,9,10,32,10
73,Republic of Moldova,0,1,3,4,50
74,Romania,3,4,2,9,23
75,Saint Lucia,1,1,0,2,67
76,Serbia,3,1,1,5,44
77,Singapore,0,0,1,1,78
78,Slovakia,0,0,1,1,78
79,Slovenia,2,1,0,3,59
80,South Africa,1,3,2,6,38
81,Spain,5,4,9,18,15
82,Sweden,4,4,3,11,19
83,Switzerland,1,2,5,8,26
84,Tajikistan,0,0,3,3,59
85,Thailand,1,3,2,6,38
86,Tunisia,1,1,1,3,59
87,Türkiye,0,3,5,8,26
88,Uganda,1,1,0,2,67
89,Ukraine,3,5,4,12,17
90,United States of America,40,44,42,126,1
91,Uzbekistan,8,2,3,13,16
92,Zambia,0,0,1,1,78
